LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
68;249190640;NOWE BYSTRE;Wielki Rogoźnik (214116);1947;49 19 56;19 55 45;870
69;249190660;KOŚCIELISKO-KIRY;Kirowa Woda (214112);1945;49 16 43;19 51 57;919
70;249190670;POLANA CHOCHOŁ.;Dunajec (214);1970;49 14 13;19 47 19;1145
71;249190680;HALA ORNAK;Kirowa Woda (214112);1949;49 13 45;19 51 34;1109
72;249190750;Soblówka;Woda Ujsolska (21322);2002;49 26 15;19 08 54;702
73;249190770;Straconka;Biała (2114);2005;49 47 38;19 06 26;450
74;249190780;Gubałówka;Biały Dunajec (21412);2005;49 18 20;19 55 47;1123
75;249190790;Ratułów;Wielki Rogoźnik (214116);2005;49 23 30;19 53 03;679
76;249190810;Kalwaria Zebrzydowska.;Cedron (213568);2006;49 52 12;19 41 07;312
77;249190820;Koszarawa;Koszarawa (21324);2006;49 40 20;19 24 50;671
78;249190830;Kościelisko-Kiry;Kirowa Woda (214112);2005;49 16 40;19 52 15;933
79;249190840;Rajcza;Soła (2132);2006;49 30 29;19 06 55;505
80;249190850;Rycerka Górna;Soła (2132);2006;49 25 33;19 00 29;720
81;249190860;Soblówka;Woda Ujsolska (21322);2006;49 27 24;19 08 43;620
82;249190870;Ślemień;Łękawica (13498);2006;49 42 57;19 22 28;480
83;249190880;Wadowice;Skawa (2134);2006;49 52 38;19 30 40;265
84;249190890;RADZIECHOWY ;Soła (2132);2008;49 38 55;19 09 20;395
85;249190920;LIPNICA WIELKA;Czarna Orawa (8222);2013;49 32 16;19 32 43;819
86;249190960;Budzów;Paleczka (2134732);2023;49 46 26;19 39 34;342
87;249190970;Sidzina;Bystrzanka (21342);2023;49 37 10;19 43 37;546
88;249190980;Sucha Beskidzka;Skawa (2134);2023;49 45 14;19 36 21;324
89;249190990;Jordanów;Skawa (2134);2024;49 38 35;19 50 30;534
90;249191020;Skawica;Skawica (21344);2024;49 41 11;19 40 01;409
91;249191030;Kopytówka;Wisła (2);2024;49 56 01;19 38 10;309
92;249191040;Rycerka Górna II;Soła (2132);2026;49 26 26;19 00 43;679
93;249200020;ŁAZY;Wisła (2);1988;49 57 55;20 29 43;245
94;249200050;STRADOMKA;Stradomka (21388);2006;49 55 15;20 18 33;226
95;249200060;Gnojnik;Uszwica (21396);1996;49 53 43;20 35 18;310
96;249200070;DOBCZYCE;Raba (2138);1947;49 52 39;20 04 14;308
97;249200080;Łapanów;Stradomka (21388);1951;49 52 31;20 17 01;265
98;249200110;JODŁOWNIK;Stradomka (21388);1974;49 46 15;20 13 29;384
99;249200120;ROZDZIELE;Stradomka (21388);1946;49 47 07;20 24 58;627
100;249200130;JASTRZĘBIA;Biała (2148);1977;49 47 11;20 53 47;288
101;249200140;WĘGLÓWKA;Raba (2138);1946;49 45 01;20 04 28;512
102;249200180;LIMANOWA;Łososina (21472);1951;49 41 37;20 25 06;515
103;249200210;PÓŁRZECZKI;Łososina (21472);1946;49 39 09;20 12 54;650
104;249200220;ROZTOKA;Dunajec (214);2006;49 38 25;20 23 00;815
105;249200230;GRYBÓW;Biała (2148);1947;49 37 11;20 56 53;335
106;249200240;PTASZKOWA;Biała (2148);1953;49 36 01;20 53 12;520
107;249200250;JASIONÓW;Raba (2138);1973;49 35 23;20 01 33;742
108;249200260;ŁĄCKO;Dunajec (214);1954;49 33 35;20 26 22;366
109;249200270;TURBACZ;Dunajec (214);2005;49 32 41;20 07 05;1273
110;249200280;ŁABOWA;Kamienica (21432);1992;49 31 34;20 51 31;455
111;249200290;OCHOTNICA GÓRNA;Dunajec (214);;49 30 37;20 14 41;617
112;249200310;KOWANIEC;Dunajec (214);1946;49 29 27;20 02 49;623
113;249200320;ŁOPUSZNA;Dunajec (214);;49 28 27;20 07 25;570
114;249200330;STUDZIONKI;Dunajec (214);1967;49 29 43;20 12 43;904
115;249200340;DĘBNO;Białka (214154);1990;49 27 57;20 12 34;536
116;249200350;HUTA;Poprad (2142);1948;49 27 54;20 57 24;756
117;249200360;MIZERNA;Dunajec (214);1967;49 27 19;20 16 55;570
118;249200370;KROŚCIENKO;Dunajec (214);1956;49 26 44;20 25 54;435
119;249200380;SZAFLARY;Biały Dunajec (21412);1947;49 25 29;20 01 51;643
120;249200420;NIEDZICA;Niedziczanka (214172);1997;49 25 04;20 18 57;534
121;249200440;JAWORZYNA KRYNIC.;Poprad (2142);2006;49 25 04;20 53 43;1110
122;249200450;BIAŁKA TATRZAŃSKA;Białka (214154);1947;49 24 44;20 06 26;680
123;249200470;KRYNICA;Poprad (2142);1867;49 24 28;20 57 39;582
124;249200480;BUKOWINA;Białka (214154);1948;49 20 15;20 05 54;902
125;249200490;MUSZYNA;Poprad (2142);1956;49 20 59;20 53 11;445
126;249200530;ŁYSA POLANA;Białka (214154);2006;49 15 49;20 06 54;970
127;249200540;HALA GĄSIENICOWA;Dunajec (214);;49 14 38;20 00 21;1523
128;249200550;DOLINA 5 STAWÓW;Dunajec (214);1949;49 12 49;20 02 52;1674
129;249200570;TRZEMEŚNIA;Raba (2138);1948;49 48 45;20 00 46;347
130;249200910;MORSKIE OKO;Rybi Potok (2141542);2005;49 12 04;20 04 17;1400
131;249200920;PIWNICZNA;Poprad (2142);2006;49 25 30;20 43 23;380
132;249200930;PORONIN;Poroniec (214128);2005;49 19 49;20 02 07;776
133;249200950;Szaflary;Biały Dunajec (21412);2006;49 24 58;20 01 31;636
134;249200960;NOWY TARG-KOWANIEC;Dunajec (214);2006;49 29 11;20 03 18;590
135;249200980;MSZANA DOLNA;Raba (2138);2012;49 39 49;20 03 16;440
136;249200990;WRONOWICE;Łososina (21472);2012;49 44 11;20 35 26;270
137;249201010;SIERCZA;Wilga (21372);2012;49 58 21;20 02 02;336
138;249201020;Ostrowsko;Dunajec (214);2024;49 28 48;20 05 38;568
139;249201030;Dobra;Łososina (214734);2023;49 43 39;20 16 24;427
140;249201040;Białka Tatrzańska;Białka (21142);2024;49 24 27;20 06 07;
141;249201050;Królówka;Stradomka (21388);2023;49 53 14;20 26 00;291
142;249201060;Tylmanowa;Ochotnica (2141976);2023;49 31 05;20 23 15;404
143;249210010;PILZNO;Wisłoka (218);1946;49 59 14;21 18 30;195
144;249210030;TUCHÓW;Biała (2148);1946;49 54 14;21 02 51;220
145;249210040;ŻARNOWA;Wisłok (226);2024;49 52 40;21 48 59;220
146;249210070;BIECZ-GRUDNA;Ropa (2182);1975;49 44 07;21 17 44;285
147;249210080;JASŁO;Jasiołka (2184);1995;49 44 08;21 29 06;228
148;249210090;GORLICE;Sękówka (21826);1946;49 39 19;21 10 16;300
149;249210120;NOWY ŻMIGRÓD;Wisłoka (218);1948;49 36 42;21 32 00;300
150;249210130;Zboiska;Jasiołka (2184);1986;49 34 27;21 41 50;320
151;249210140;DUKLA;Jasiołka (2184);1946;49 34 01;21 40 50;385
152;249210150;IWONICZ-ZDRÓJ;Lubatówka (22632);1947;49 34 02;21 47 18;425
153;249210160;ORZECHÓWKA;Wisłok (226);1996;49 43 00;21 57 41;310
154;249210170;BARTNE;Sękówka (21826);1945;49 33 31;21 20 44;540
155;249210180;KREMPNA;Wisłoka (218);1948;49 30 59;21 29 27;380
156;249210190;WISŁOCZEK;Wisłok (226);1983;49 30 03;21 51 56;520
157;249210210;PUŁAWY DOLNE;Wisłok (226);1983;49 29 24;21 54 26;395
158;249210220;WYSZOWADKA;Wisłoka (218);1980;49 27 14;21 25 15;506
159;249210230;WYSOWA;Ropa (2182);1951;49 26 17;21 10 21;519
160;249210240;BARWINEK;Jasiołka (2184);1951;49 25 52;21 41 05;465
161;249210250;JAŚLISKA;Jasiołka (2184);1955;49 26 24;21 48 36;440
162;249210260;TYLICZ;Poprad (2142);1945;49 23 32;21 00 32;585
163;249210270;WISŁOK WIELKI;Wisłok (226);1948;49 22 43;21 59 57;540
164;249210280;Kunkowa;Przysłopianka (218232);1991;49 33 00;21 07 29;413
165;249210340;Krempna;Wisłoka (218);2006;49 30 59;21 29 03;380
166;249210350;Moszczaniec;Wisłok (226);2023;49 25 20;21 54 46;467
167;249210370;Ropica Górna;Sękówka (21826);2023;49 35 46;21 13 53;357
168;249210390;Uście Gorlickie;Ropa (2182);2024;49 31 37;21 07 55;398
169;249210420;Smerekowiec;Zdynia (218234);2023;49 30 19;21 14 02;451
170;249220010;KAŃCZUGA;Mleczka (2268);1949;49 59 07;22 24 26;215
171;249220040;DYNÓW;San (22);1952;49 50 07;22 14 06;249
172;249220060;BIRCZA;San (22);1956;49 41 14;22 28 52;324
173;249220070;RYBOTYCZE;Wiar (224);1948;49 39 16;22 38 24;289
174;249220080;SANOK-TREPCZA;San (22);1945;49 35 05;22 11 07;307
175;249220110;NOWOTANIEC;Pielnica (22618);1954;49 30 28;22 01 31;405
176;249220120;LESZCZOWATE;San (22);1954;49 30 26;22 32 52;486
177;249220130;Brzegi Dolne;Strwiąż (76);1992;49 26 36;22 37 16;438
178;249220140;SZCZAWNE;Osława (222);1953;49 23 56;22 08 49;395
179;249220150;SOLINA-JAWOR;San (22);1964;49 24 00;22 28 06;459
180;249220160;TELEŚNICA OSZWAROWA;San (22);1955;49 22 49;22 31 52;449
181;249220170;BALIGRÓD-MCHAWA;Hoczewka (2218);1953;49 21 14;22 17 01;430
182;249220180;KOMAŃCZA;Osława (222);1951;49 20 21;22 03 48;478
183;249220190;SAKOWCZYK;San (22);1964;49 18 53;22 26 51;561
184;249220210;TERKA;Solinka (2212);;49 17 50;22 25 37;446
185;249220220;POLANA;Czarna (22132);1964;49 18 12;22 34 36;458
186;249220230;LUTOWISKA;San (22);1955;49 14 35;22 41 00;666
187;249220240;ŻUBRACZE;Solinka (22134);1999;49 12 32;22 16 18;623
188;249220250;CISNA;Solinka (2212);1953;49 12 46;22 19 52;549
189;249220260;DWERNIK;San (22);;49 13 15;22 38 02;543
190;249220270;KALNICA;Wetlina (22126);1985;49 11 50;22 25 27;577
191;249220280;STUPOSIANY;Wołosaty (22114);1974;49 11 30;22 40 59;547
192;249220290;ROZTOKI GÓRNE;Solinka (22134);1973;49 09 12;22 18 52;700
193;249220310;WETLINA;Wetlina (221346);1955;49 08 41;22 28 19;708
194;249220320;POŁONINA WETLIŃSKA;Wetlina (221346);2005;49 09 28;22 33 06;1226
195;249220330;TARNAWA  NIŻNA;San (22);2005;49 07 29;22 47 29;708
196;249220340;WOŁOSATE;Wołosaty (22114);2005;49 03 51;22 41 09;752
197;249220350;WYŻNIAŃSKI WIERCH;San (22);2005;49 07 19;22 35 09;913
198;249220360;BUKOWIEC ;Solinka (2212);2019;49 18 21;22 24 49;435
199;249220370;Zatwarnica;San (22);2023;49 12 57;22 33 08;
200;250140010;Wyszków;Nysa Łużycka (174);1973;50 57 55;14 59 37;330
201;250140020;Sieniawka;Nysa Łużycka (174);1949;50 53 37;14 50 07;234
202;250140030;Bogatynia;Miedzianka (17416);1947;50 53 59;14 58 50;290
203;250150030;Pobiedna;Łużyca (166324);1948;50 57 07;15 18 31;409
204;250150050;Pilchowice;Bóbr (16);1947;50 57 46;15 38 24;251
205;250150060;Rębiszów;Skitnica (166246);1948;50 57 06;15 26 56;420
206;250150080;Stara Kamienica;Kamienica (1632);1946;50 55 01;15 34 27;374
207;250150090;Świeradów-Zdrój;Kwisa (166);;50 53 54;15 21 31;510
208;250150110;Kaczorów;Kaczawa (138);1946;50 54 32;15 56 09;491
209;250150130;Ciechanowice;Bóbr (16);1946;50 52 02;15 58 38;405
210;250150150;Szklarska Poręba;Kamieńczyk (1622);1947;50 50 04;15 31 45;648
211;250150170;Jakuszyce;Kamienna (162);1994;50 49 23;15 26 31;855
212;250150180;Jagniątków;Wrzosówka (1628);1946;50 49 12;15 36 43;549
213;250150190;Kowary;Jedlica (16188);1948;50 48 13;15 49 27;430
214;250150210;Przesieka;Podgórna (16288);1946;50 47 56;15 40 02;646
215;250150220;Karpacz;Skałka (161844);1945;50 46 44;15 46 10;567
216;250150240;Paczyn;Bachorzyna (161154);1955;50 44 23;15 54 41;643
217;250150250;Paprotki;Bachorzyna (161154);1956;50 43 36;15 56 53;543
218;250150260;Bukówka;Bóbr (16);1955;50 42 46;15 57 26;511
219;250150340;Borowice;Kacza (162886);2007;50 47 21;15 41 24;660
220;250150350;Podgórzyn;Podgórna (16288);2007;50 49 32;15 41 15;385
221;250150510;Mirsk;Czarny Potok (16632);2014;50 59 13;15 23 00;338
222;250150530;Świeradów-Zdrój II;Kwisa (166);2020;50 54 21;15 19 32;595
223;250150540;Czernica;Biały Potok (16344);2024;50 58 28;15 43 03;299
224;250150550;Szrenica;Bóbr (16);2023;50 47 27;15 30 44;1327
225;250150560;Mała Kopa;Łomniczka (16184);2023;50 44 37;15 43 34;1341
226;250150570;Mysłów;Mokrzyna (13812);2025;50 55 57;15 58 59;464
227;250150580;Jarkowice;Bóbr (16);2024;50 44 11;15 52 25;650
228;250150590;Niedamirów;Bóbr (16);2024;50 41 28;15 52 14;685
229;250160010;Strzegom;Strzegomka (1348);1949;50 57 50;16 22 35;211
230;250160030;Bolków;Nysa Szalona (1384);1949;50 55 30;16 05 55;310
231;250160060;Sobótka;Czarna Woda (1346);1946;50 54 08;16 45 34;156
232;250160070;Borów;Ślęza (1336);1947;50 52 56;16 59 24;145
233;250160090;Pszenno;Piława (1344);1979;50 51 41;16 31 43;223
234;250160120;Lubomin;Dopływ z Lubomina (134822);1949;50 48 13;16 11 45;464
235;250160130;Szczawno-Zdrój;Szczawnik (134864);1948;50 48 24;16 14 28;431
236;250160150;Kamienna Góra;Bóbr (16);1946;50 47 34;16 02 10;464
237;250160170;Lubachów;Bystrzyca (134);1963;50 45 50;16 25 43;305
238;250160190;Boguszów-Gorce;Lesk (1616);1949;50 44 58;16 11 24;518
239;250160220;Jedlina-Zdrój;Jedlina (13416);2011;50 43 07;16 20 57;436
240;250160260;Dzierżoniów;Piława (1344);1946;50 44 36;16 37 27;252
241;250160270;Walim;Walimka (13418);;50 42 10;16 26 21;489
242;250160290;Chełmsko Śląskie;Zadrna (1614);1947;50 40 15;16 04 12;498
243;250160310;Mieroszów;Ścinawka (122);1946;50 39 45;16 10 33;493
244;250160320;Ostroszowice;Jadkowa (12322);1947;50 38 46;16 37 57;373
245;250160350;Srebrna Góra;Budzówka (1232);;50 34 38;16 39 53;405
246;250160360;Tarnów;Budzówka (1232);1974;50 34 31;16 47 34;296
247;250160410;Bardo;Nysa Kłodzka (12);1946;50 30 33;16 44 39;321
248;250160450;Kudowa-Zdrój;Klikawa (946);1946;50 26 17;16 13 19;364
249;250160480;Słoszów;Wapienny (12182);1974;50 24 36;16 22 46;556
250;250160490;Polanica-Zdrój;Bystrzyca Dusznicka (1218);1946;50 25 31;16 31 06;389
251;250160510;Ołdrzychowice Kłodzkie;Biała Lądecka (1216);1949;50 21 24;16 44 05;349
252;250160520;Lądek-Zdrój;Biała Lądecka (1216);1948;50 20 21;16 51 27;450
253;250160530;Zieleniec;Bystrzyca Dusznicka (1218);;50 19 48;16 23 39;840
254;250160560;Stronie Śląskie;Biała Lądecka (1216);1948;50 18 09;16 51 58;502
255;250160580;Spalona;Bystrzyca (1214);1955;50 16 36;16 32 18;815
256;250160590;Długopole-Zdrój;Nysa Kłodzka (12);1949;50 14 59;16 38 00;364
257;250160610;Bolesławów;Morawka (12162);1973;50 15 17;16 53 27;602
258;250160620;Kamienica;Kamienica (121624);1972;50 13 38;16 53 03;682
259;250160630;Międzygórze;Wilczka (1212);1948;50 13 07;16 46 25;795
260;250160650;Międzylesie;Nysa Kłodzka (12);1946;50 09 12;16 40 15;453
261;250160840;Szalejów Górny;Bystrzyca Dusznicka (1218);2014;50 25 50;16 33 09;335
262;250160910;SREBRNA GÓRA II;Budzówka (1232);2022;50 34 51;16 40 06;380
263;250160920;Piława Górna;Piława (1344);2023;50 41 22;16 43 57;296
264;250160930;Karłów;Czerwona Woda (121848);2024;50 28 27;16 20 13;753
265;250160940;Nowa Wieś;Nowinka (121146);2024;50 11 52;16 44 42;555
266;250160950;Kwietniki;Nysa Mała (13846);2023;50 58 01;16 08 34;256
267;250160960;Stary Gierałtów;Biała Lądecka (1216);2024;50 18 36;16 55 03;535
268;250160970;Śnieżnik;Wilczka (1212);2023;50 12 30;16 49 57;1218
269;250160980;Wolibórz;Ścinawka (122);2023;50 35 26;16 34 41;518
270;250161020;ZIELENIEC II;Bystrzyca Dusznicka (1218);2022;50 20 40;16 23 57;721
271;250161030;Rzeczka;Walimka (13418);2023;50 40 36;16 26 51;624
272;250161040;Złoty Stok;Nysa Kłodzka (12);2024;50 25 47;16 51 02;536
273;250161060;Łomnica;Bystrzyca (134);2024;50 40 20;16 19 42;570
274;250161070;Jodłów;Nysa Kłodzka (12);2024;50 10 22;16 46 16;828
275;250161080;Starkówek;Nysa Kłodzka (12);2024;50 22 24;16 31 05;484
276;250161090;Wolbromek;Nysa Szalona (1384);2024;50 55 47;16 07 38;290
277;250161110;Golińsk;Ścinawka (122);2025;50 38 49;16 12 12;493
278;250170110;Dobrogoszcz;Pluskawa (133646);1955;50 45 31;17 01 02;175
279;250170250;Otmuchów;Nysa Kłodzka (12);;50 28 20;17 09 59;212
280;250170290;Dziewiętlice;Świdna (12548);1946;50 24 41;17 05 03;241
281;250170330;Głuchołazy;Biała Głuchołaska (1258);1945;50 18 08;17 23 14;348
282;250170340;Jarnołtówek;Złoty Potok (117644);1946;50 17 17;17 26 17;346
283;250170390;Głubczyce;Psina (1152);1946;50 10 55;17 47 41;290
284;250170540;RACŁAWICE ŚLĄSKIE;Osobłoga (1176);2007;50 18 39;17 45 41;227
285;250170770;Unikowice;Nysa Kłodzka (12);2024;50 26 33;17 00 31;248
286;250170780;Dobieszów;Troja (11526);2023;50 10 25;17 42 34;303
287;250170790;Wojnowice;Troja (11526);2024;50 08 01;17 52 06;283
288;250170810;Branice;Opawa (112);2024;50 03 04;17 46 33;290
289;250170840;Meszno;Nysa Kłodzka (12);2023;50 25 57;17 08 29;213
290;250170850;Kujawy;Osobłoga (1176);2023;50 26 13;17 48 14;180
291;250170860;Przylesie;Oława (1334);2024;50 46 56;17 20 59;164
292;250170870;Opole-WIK;Odra (1);2024;50 40 52;17 54 04;149
293;250170880;Borek Strzeliński;Ślęza (1336);2025;50 52 08;17 05 19;146
294;250180110;Dobrodzień;Myślinka (118384);1947;50 43 45;18 25 32;227
295;250180190;Krupski Młyn;Mała Panew (118);1955;50 34 09;18 37 24;225
296;250180210;Zielona;Mała Panew (118);1946;50 32 57;18 58 05;284
297;250180250;Brynica;Brynica (2126);1946;50 28 18;18 59 56;283
298;250180270;Świerklaniec;Brynica (2126);1947;50 25 44;18 56 33;285
299;250180330;Łabędy;Kłodnica (116);1955;50 20 31;18 36 55;208
300;250180380;Sukowice;Cisek (11594);1948;50 15 46;18 10 11;180
301;250180450;Zwonowice;Sumina (11568);1973;50 08 34;18 26 16;260
302;250180530;Kietrz;Odra (1);1946;50 04 56;18 00 37;220
303;250180540;Rydułtowy;Odra (1);1949;50 03 01;18 25 46;295
304;250180560;Żory;Ruda (1156);1955;50 03 13;18 41 47;245
305;250180580;Droniowice;Liswarta (1816);2003;50 41 43;18 48 29;270
306;250180590;RYBNIK-STODOŁY;Ruda (1156);2006;50 09 16;18 28 59;216
307;250180640;Zabrze;Kłodnica (116);2023;50 21 57;18 45 14;270
308;250180650;Pławniowice;Kłodnica (116);2023;50 22 35;18 28 56;218
309;250180660;Ruda Śląska;Kłodnica (116);2023;50 14 49;18 49 12;236
310;250180670;Trzebiszyn;Budkowiczanka (1328);2023;50 51 54;18 11 27;196
311;250180680;Czerwionka-Leszczyny;Bierawka (1158);2024;50 09 16;18 39 49;246
312;250180690;Pilchowice;Bierawka (1158);2023;50 13 27;18 35 31;221
313;250180710;Boguszyce;Kłodnica (116);2023;50 26 13;18 30 37;211
314;250180720;Modzurów;Odra (1);2023;50 09 38;18 08 20;244
315;250180730;Bierawa;Odra (1);2024;50 16 56;18 14 41;178
316;250180740;Sierakowice;Odra (1);2023;50 15 56;18 25 53;203
317;250180750;Wąsice;Stobrawa (132);2023;50 59 06;18 01 47;169
318;250180760;Strzelce Opolskie;Mała Panew (118);2023;50 31 04;18 18 40;229
319;250180770;Sieroniowice;Kłodnica (116);;50 27 01;18 21 33;263
320;250180780;Świerklany;Olza (114);2025;50 00 45;18 35 10;285
321;250180790;Sowczyce;Potok Sowczycki (1816364);2025;50 50 53;18 29 11;248
322;250190010;Januszewice;Czarna (Włoszczowska) (2542);1997;50 56 31;19 57 40;220
323;250190030;Silniczka;Pilica (254);1886;50 55 19;19 45 32;215
324;250190080;Wąsosz;Pilica (254);2005;50 44 15;19 41 09;230
325;250190140;Żarki;Warta (18);1955;50 38 24;19 22 49;380
326;250190150;BONOWICE;Pilica (254);1989;50 37 16;19 47 37;260
327;250190160;Lgota Górna;Warta (18);1972;50 36 03;19 14 07;320
328;250190170;Kręciwilk;Warta (18);2001;50 32 43;19 22 13;307
329;250190180;PIWOŃ;Przemsza (212);1946;50 28 59;19 15 04;295
330;250190210;Pilica;Pilica (254);1946;50 27 35;19 38 49;351
331;250190220;Łazy;Przemsza (212);1955;50 25 52;19 23 02;350
332;250190260;Golczowice;Biała Przemsza (2128);1955;50 21 36;19 35 45;325
333;250190290;OLEWIN;Biała Przemsza (2128);;50 16 37;19 36 13;398
334;250190310;Maczki;Biała Przemsza (2128);1945;50 15 31;19 15 46;265
335;250190380;Bieruń Stary;Mleczna (21188);1945;50 05 03;19 05 41;255
336;250190390;Kraków - Obserwatorium;Wisła (2);1792;50 03 50;19 57 31;204
337;250190470;WOLA JUSTOWSKA;Rudawa (2136);1963;50 03 50;19 53 25;204
338;250190510;Piwoń;Przemsza (212);2005;50 29 04;19 14 42;300
339;250190520;TYCHY;Gostynia (2118);2005;50 07 55;19 00 04;255
340;250190530;Katowice Pyrzowice;Brynica (2126);1970;50 28 38;19 05 42;301
341;250190780;Będkowice;Rudawa (2136);2023;50 10 45;19 46 10;434
342;250190790;Chrzanów;Wisła (2);2023;50 06 45;19 22 36;252
343;250190810;Lubsza;Mała Panew (118);2023;50 36 35;19 00 15;335
344;250190820;Dąbrowa Górnicza;Przemsza (212);2024;50 24 08;19 15 52;321
345;250190830;Mysłów;Dopływ spod Mysłowa (1811342);2024;50 34 22;19 12 54;322
346;250190840;Rokitno Szlacheckie;Przemsza (212);2023;50 26 07;19 25 52;343
347;250190850;TROKS;Biała Przemsza (2128);2023;50 18 14;19 38 09;411
348;250190860;Wywła;Pilica (254);2025;50 36 56;19 55 31;282
349;250190880;Sułoszowa;Prądnik (21374);2023;50 15 30;19 44 24;442
350;250190920;Koryczany;Pilica (254);2025;50 29 22;19 56 05;323
351;250190930;Kraków-Kampus UJ;Wisła (2);;50 01 37;19 54 07;211
352;250200010;BARTKÓW;Bobrza (216482);1949;50 58 43;20 38 59;330
353;250200040;Bodzentyn;Świślina (2348);1949;50 56 49;20 57 05;270
354;250200050;RYKOSZYN;Wierna Rzeka (2162);1958;50 51 56;20 24 42;274
355;250200110;CISÓW;Czarna (2178);1983;50 45 31;20 54 10;326
356;250200130;KLISZÓW;Nida (216);1947;50 36 45;20 31 29;206
357;250200210;MIECHÓW;Szreniawa (21392);1951;50 22 08;20 05 19;299
358;250200220;SIELEC;Nidzica (21398);1925;50 19 07;20 25 14;200
359;250200230;BORUSOWA;Wisła (2);1948;50 16 40;20 47 13;171
360;250200250;RADZIEMICE;Szreniawa (21392);1946;50 15 12;20 13 51;240
361;250200280;IGOŁOMIA;Wisła (2);1947;50 05 37;20 15 23;202
362;250200290;BORZĘCIN;Uszwica (21396);1949;50 03 57;20 42 36;192
363;250200360;DĄBROWA TARNOWSKA;Breń (2174);2006;50 11 10;20 59 28;197
364;250200370;KONIECZNO;Nida (216);2006;50 47 39;20 02 03;268
365;250200380;BIELINY PODUCHOWNE;Czarna Nida (2164);2006;50 50 58;20 57 32;321
366;250200490;Kokotów;Wisła (2);;50 01 19;20 04 15;
367;250200520;Dobrowoda;Nida (216);2024;50 23 40;20 45 56;208
368;250200550;Brończyce;Szreniawa (21392);2024;50 14 00;20 06 12;256
369;250210020;Nosów;Pokrzywianka (23484);1950;50 55 09;21 13 09;265
370;250210030;Annopol;Wisła (2);1949;50 53 22;21 50 03;165
371;250210040;SŁUPIA NOWA;Pokrzywianka (23484);1949;50 51 51;21 05 00;290
372;250210050;Święty Krzyż;Pokrzywianka (23484);1928;50 51 34;21 03 05;575
373;250210070;BARANÓWEK;Koprzywianka (2194);1983;50 46 12;21 15 28;283
374;250210080;SADKÓW;Czarna (2178);1949;50 44 12;21 04 38;365
375;250210090;JASTRZĘBSKA WOLA;Łagowica (217832);1992;50 43 29;21 11 13;263
376;250210110;RAKÓW;Czarna (2178);1949;50 40 18;21 02 55;220
377;250210120;KLIMONTÓW;Koprzywianka (2194);;50 39 12;21 27 01;203
378;250210130;STASZÓW;Czarna (2178);1957;50 35 42;21 11 06;219
379;250210160;MAJDAN KRÓLEWSKI;Łęg (2198);1947;50 22 00;21 45 07;200
380;250210170;WILCZA WOLA;Łęg (2198);1953;50 20 29;21 55 55;190
381;250210180;CHORZELÓW;Wisła (2);1948;50 20 53;21 26 39;170
382;250210210;MIELEC;Wisłoka (218);1996;50 16 46;21 25 58;170
383;250210220;KOLBUSZOWA;Łęg (2198);1990;50 15 44;21 44 45;200
384;250210230;RADOMYŚL WIELKI;Breń (2174);1947;50 11 59;21 16 11;190
385;250210240;ZAWADA;Brzeźnica (2188);1981;50 03 50;21 29 36;200
386;250210260;SĘDZISZÓW MAŁOPOLSKI;Brzeźnica (2188);2006;50 04 41;21 42 13;210
387;250210280;Wola Raniżowska;Łęg (2198);2023;50 18 04;21 59 32;195
388;250210290;Łubnice;Wisła (2);2024;50 23 49;21 09 17;162
389;250210310;Jasice;Kamienna (234);2023;50 51 05;21 36 35;191
390;250210330;Klimontów;Koprzywianka (2194);2024;50 39 09;21 27 49;210
391;250220020;Zakrzówek;Bystrzyca (246);1948;50 55 46;22 22 21;270
392;250220030;Wysokie;Pór (24174);1946;50 55 04;22 40 01;260
393;250220050;Zakłodzie;Pór (24174);1973;50 45 27;22 51 41;205
394;250220080;FRAMPOL;Bukowa (2294);1948;50 40 30;22 39 58;243
395;250220120;JAROCIN;Bukowa (2294);1972;50 34 07;22 18 24;183
396;250220130;BRODZIAKI;Łada (2286);2006;50 30 24;22 47 24;201
397;250220140;Tarnogróg;Tanew (228);1956;50 21 24;22 45 24;237
398;250220210;JAROSŁAW;San (22);;50 01 06;22 41 47;181
399;250220220;Jarosław;San (22);2005;50 01 16;22 42 09;180
400;250220230;Piwoda;San (22);2024;50 04 35;22 45 18;183
401;250220240;Bukownica;Łada (2286);2025;50 33 38;22 50 48;235
402;250220250;Piskorowice;San (22);2025;50 14 44;22 31 01;171
403;250230020;Nielisz;Wieprz (24);2005;50 48 18;23 02 19;200
404;250230060;Józefów;Tanew (228);1948;50 29 15;23 03 30;257
405;250230070;Tomaszów Lubelski;Bug (26714);1921;50 27 29;23 23 56;270
406;250230130;FUTORY;Lubaczówka (2256);1946;50 11 48;23 02 47;239
407;250230140;WIELKIE OCZY;Szkło (2254);1955;50 01 04;23 09 30;236
408;250230160;CIESZANÓW;Tanew (228);2004;50 14 01;23 07 05;217
409;250230170;Jędrzejówka;Tanew (228);2013;50 19 47;23 20 34;285
410;250230180;Grabowiec Góra;Wolica (2432);2024;50 48 45;23 34 12;268
411;250230190;Kolonia Nowosiółki;Huczwa (267142);2024;50 32 30;23 54 58;248
412;250240010;Strzyżów;Bug (266);2001;50 50 24;24 02 08;181
413;250240070;Gołębie;Bug (26714);2024;50 38 05;24 04 59;204
