LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
605;253170030;RÓŻKI-DĘBIE;Brda (292);1956;53 53 28;17 08 53;155
606;253170060;Zapędowo;Brda (292);1956;53 42 15;17 50 25;125
607;253170160;Sypniewo;Łobżonka (1884);1963;53 21 52;17 19 49;128
608;253170210;Chrząstowo;Noteć (188);1953;53 09 40;17 35 01;105
609;253170320;Lipa;Noteć (188);2023;53 03 02;17 15 28;62
610;253170330;Sitowiec;Krówka (29276);2023;53 22 08;17 45 15;134
611;253170340;Iwno;Dopływ z Łankowic (188528);2023;53 01 36;17 25 05;111
612;253170350;Czyczkowy;Wda (294);2024;53 51 39;17 44 00;137
613;253170360;Pruszcz;Brda (292);2023;53 26 47;17 49 32;124
614;253170370;Upiłka;Brda (292);2023;53 56 49;17 56 49;141
615;253180020;RADOSTOWO;Wisła (2);1951;53 59 22;18 44 50;40
616;253180040;Starogard Gdański;Wierzyca (298);2004;53 58 56;18 32 56;85
617;253180060;Czarna Woda;Wda (294);1948;53 50 26;18 05 34;125
618;253180090;Śliwice;Wda (294);1949;53 42 17;18 10 33;119
619;253180150;Grudziądz;Wisła (2);1946;53 26 15;18 42 34;25
620;253180160;Radzyń-Fijewo;Radzyńska Struga (296692);1948;53 22 58;18 56 49;104
621;253180170;Nowy Jasiniec;Brda (292);1956;53 20 54;18 02 14;90
622;253180220;Bydgoszcz;Brda (292);1991;53 10 25;18 02 45;55
623;253180260;Lubiewo;Brda (292);2023;53 27 50;18 01 30;116
624;253180270;Skórcz-Ryzowie;Wierzyca (298);2023;53 47 18;18 32 13;85
625;253180280;Brzozowo;Wisła (2);2024;53 18 44;18 25 29;85
626;253190030;Dobrocin;Drwęca (28);1972;53 54 30;19 49 41;118
627;253190070;Prabuty;Nogat (52);1948;53 44 22;19 12 54;100
628;253190220;LIDZBARK;Wel (286);1948;53 15 16;19 49 27;140
629;253190260;OSTROWITE;Drwęca (28);1946;53 25 12;19 16 27;101
630;253190310;Kuligi;Wel (286);2005;53 25 51;19 41 28;96
631;253190360;Najmowo;Osa (296);2023;53 18 30;19 19 36;104
632;253190370;Bągart;Elbląg (54);2023;53 59 30;19 23 04;0
633;253190380;Lubstyn;Drwęca (28);2023;53 31 39;19 50 44;200
634;253200040;Gietrzwałd;Pasłęka (56);1948;53 45 05;20 14 41;107
635;253200080;Jemiołowo;Pasłęka (56);1946;53 33 42;20 17 58;175
636;253200140;Wielbark;Sawica (26542);1949;53 24 22;20 56 14;127
637;253200290;Bagienice;Orzyc (2658);2024;53 15 18;20 51 29;130
638;253200310;Przasnysz;Orzyc (2658);2025;53 00 44;20 55 54;120
639;253210130;SZCZYTNO;Omulew (2654);;53 34 37;21 00 44;160
640;253210170;ROZOGI;Szkwa (26518);1949;53 29 30;21 22 46;130
641;253210180;PTAKI;Pisa (264);;53 23 26;21 47 41;112
642;253210210;MYSZYNIEC;Rozoga (2652);1983;53 23 04;21 21 01;120
643;253210220;DOBRYLAS;Pisa (264);1949;53 17 47;21 49 38;104
644;253210260;ZARUZIE;Ruż (26516);2005;53 08 51;21 48 09;87
645;253210280;DOBRYLAS;Pisa (264);2005;53 17 07;21 51 53;102
646;253210290;PTAKI;Pisa (264);2005;53 23 35;21 47 30;107
647;253210350;TYSZKI-WĄDOŁOWO;Skroda (26498);2016;53 26 52;21 59 03;152
648;253210370;ŚWIĘTAJNO;Szkwa (26518);2018;53 33 49;21 13 41;142
649;253210380;Turowo;Pisa (264);2023;53 31 43;21 54 06;141
650;253210390;Mikosze-Osada;Orzysza (26458);2024;53 48 58;21 54 28;124
651;253210410;Targowo;Krutynia (264326);2024;53 41 43;21 01 43;165
652;253220070;BIEBRZA;Ełk (2628);1953;53 39 02;22 34 42;115
653;253220080;DĘBOWO;Biebrza (262);1946;53 36 38;22 55 50;115
654;253220120;OSOWIEC;Biebrza (262);1946;53 28 57;22 38 45;110
655;253220130;RADZIŁÓW;Wissa (26296);1963;53 24 50;22 24 19;115
656;253220160;BURZYN;Biebrza (262);1949;53 16 43;22 27 15;120
657;253220210;TYKOCIN;Narew (26);;53 12 16;22 46 14;109
658;253220220;ZAWADY;Ślina (26194);1949;53 09 25;22 40 24;110
659;253220270;JABŁONOWO-WYPYCHY;Narew (26);2005;53 01 47;22 45 01;130
660;253220310;MOŃKI;Nereśl (2618);2014;53 24 01;22 47 47;175
661;253220330;MARIANOWO II;Narew (26);2016;53 12 43;22 06 21;138
662;253220360;Biernatki;Netta (2622);2023;53 52 04;22 51 12;136
